state_name,priced_residential_buildings,total_estimated_si
Nordrhein-Westfalen,7861463,1743600850805.6885
Bayern,5659136,1680515877068.2214
Baden-Württemberg,4319985,1127573569138.7988
Niedersachsen,3890158,1039635479653.9669
Hessen,2516053,685059267367.3508
Rheinland-Pfalz,1928541,524380437455.63464
Sachsen,1970836,426215105988.704
Brandenburg,1832852,332551331798.5775
Schleswig-Holstein,1350973,324041372487.5671
Sachsen-Anhalt,1478528,320493258888.05884
Thüringen,1311926,266495289905.8724
Berlin,521536,246278019062.04022
Mecklenburg-Vorpommern,1089799,198917883257.45886
Saarland,538015,130905937901.9226
Hamburg,303991,128561892097.21954
Bremen,179606,59371657098.3493
COUNTRY TOTAL,36936842,9275269093360.625
